g_key,i_key,ra,dec,g_mag,i_mag,color,mag_err,match_distance
20251017135-101,20251017135-812,260.0299959251068,57.92885579255707,17.3188475,16.173032,1.1458155000000012,0.029532011,1.3526105280205717e-05
20251017135-101,20251017135-812,260.0105916026422,57.90162952235002,18.995963,18.4806284,0.5153345999999992,0.148655125,0.00017624984047190576
20251017135-101,20251017135-812,260.082914682692,57.98828957479475,19.379286,18.6952714,0.6840146000000011,0.12910018499999998,8.0228484713538e-05
20251017135-101,20251017135-812,259.8021280584252,57.93982566703224,18.989863,18.2715148,0.7183482000000012,0.21933404,0.0003897556661107777
20251017135-101,20251017135-812,259.8120431172831,57.9476944471235,19.132226000000003,18.272238599999998,0.859987400000005,0.149710849,0.00023570091703141978
20251017135-101,20251017135-812,259.9400652206356,58.10364638795586,14.003103000000001,13.473669999999998,0.5294330000000027,0.0108258437,7.735471414702226e-05
20251017135-101,20251017135-812,259.8635258147679,58.00945911825911,19.884649600000003,17.4363326,2.448317000000003,0.151581465,0.00014883441941547883
20251017135-101,20251017135-812,259.91803867026726,58.07282146113148,19.875995500000002,17.9702715,1.9057240000000029,0.12549525,7.095045285168984e-05
20251017135-101,20251017135-812,259.86220566665486,57.98918636655906,11.690588000000002,9.986412999999999,1.7041750000000029,0.0176130385,0.00011327250580153889
20251017135-101,20251017135-812,259.8190869387201,57.944713017333015,15.893955,15.362124,0.5318310000000004,0.027429946000000004,0.00020702189685059994
20251017135-101,20251017135-812,259.90268599576143,58.0472617152827,19.3827947,18.4272603,0.9555344000000012,0.127458464,0.00013638520187178805
20251017135-101,20251017135-812,259.9303269549681,58.07268590393052,16.733026000000002,16.139404,0.5936220000000034,0.027839447,6.648007383538404e-05
20251017135-101,20251017135-812,259.85992095048823,57.99309394496491,18.659611,17.6921824,0.9674286000000016,0.106694464,9.657303089277671e-05
20251017135-101,20251017135-812,259.88570963913367,58.01214244649023,14.492038,14.175626,0.31641200000000147,0.0091520783,0.00011591303280263202
20251017135-101,20251017135-812,259.92280184622695,58.055694073042375,18.909342000000002,18.332376,0.5769660000000023,0.115984406,0.00017060537881798468
20251017135-101,20251017135-812,259.8924184116447,58.00861766157443,19.715254,18.663269,1.051985000000002,0.15218659,0.0001256878114874247
20251017135-101,20251017135-812,259.845221534458,57.94783939061023,19.4777916,18.717342,0.7604496000000012,0.161636845,0.00024435533395343004
20251017135-101,20251017135-812,259.9545431028653,58.07548538019343,18.518774,17.227789,1.2909849999999992,0.073211673,8.903210946653646e-05
20251017135-101,20251017135-812,259.8948761672127,58.00045429104175,16.83549,15.951585999999999,0.8839040000000011,0.031907774,0.00010212822631638757
20251017135-101,20251017135-812,259.93678393467485,58.03825194713549,18.625334600000002,17.715715,0.9096196000000027,0.10297833,0.00014356822683337257
20251017135-101,20251017135-812,259.8977308130641,57.97958963837739,17.980303,16.620795,1.3595079999999982,0.05666641,0.00012185987955504563
20251017135-101,20251017135-812,259.86158174504976,57.93101519715068,19.229185,18.254170799999997,0.9750142000000039,0.12152463999999999,0.00018610243379552817
20251017135-101,20251017135-812,259.9644070839922,58.051406406978266,16.253261000000002,15.375036999999999,0.878224000000003,0.021170514,6.689116401350767e-05
20251017135-101,20251017135-812,259.941658092372,58.021843415481214,19.484874,18.797682,0.6871920000000031,0.15515886,0.00017552790610627346
20251017135-101,20251017135-812,259.99387459896866,58.080492738861224,17.166854,16.523505,0.6433490000000006,0.036074126,7.429518435316296e-05
20251017135-101,20251017135-812,259.94788581632355,58.0213364860118,18.264446,17.182505,1.0819410000000005,0.050345319,6.589553286057578e-05
20251017135-101,20251017135-812,259.9041694055239,57.96311957723083,19.710996,18.656999499999998,1.0539965000000038,0.153681256,8.343065433995192e-05
20251017135-101,20251017135-812,259.9107519610286,57.967015110249605,19.181072,18.2613715,0.9197005000000011,0.10847214599999999,0.00014544964066270564
20251017135-101,20251017135-812,259.9615831573391,58.02443658192868,16.291077,15.369292999999999,0.9217840000000024,0.021119832999999998,5.0240713600066326e-05
